Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With Social Security income,Margin of Error; Total: - With Social Security income,Estimate; Total: - No Social Security income,Margin of Error; Total: - No Social Security income
Allegheny Center,1,870,93,160,49,710,98
Allegheny West,2,146,36,43,23,103,33
Allentown,3,1069,132.457540367,304,78.7781695649,765,130.142229887
Arlington,4,701,104.465305245,207,51.7880295049,494,95.4829827771
Arlington Heights,5,144,59,22,17,122,58
Banksville,6,1946,229.222599235,574,149.896631049,1372,198.418749115
Bedford Dwellings,7,723,53,150,36,573,63
Beechview,8,3567,258.027130357,1054,158.467662317,2513,247.311544412
Beltzhoover,9,848,156.057681644,298,92.2062904579,550,143.349223926
Bloomfield,10,4571,205.494525475,917,117.111058402,3654,202.963050824
Bluff,11,240,47.0,68,30.3973683071,172,42.0475920832
Bon Air,12,372,71,101,39,271,71
Brighton Heights,13,3222,192.234232123,1020,127.357763799,2202,194.298739059
Brookline,14,5843,327.694980128,2001,240.655355229,3842,309.074424695
California-Kirkbride,15,333,38,70,26,263,42
Carrick,16,4301,277.613040039,1292,166.649332432,3009,264.867891599
Central Business District,17,1968,221.43847904,336,103.14552826,1632,210.853029383
Central Lawrenceville,18,2338,171.57214226,623,104.565768777,1715,181.058001757
Central Northside,19,1479,113.929802949,374,70.3917608815,1105,108.618598776
Central Oakland,20,1903,157.39758575,156,40.533936399,1747,159.593232939
Chartiers City,21,271,60,128,45,143,68
Chateau,22,3,3,3,3,0,10
Crafton Heights,23,1677,126.795110316,432,68.3373982531,1245,127.565669363
Crawford-Roberts,24,1125,138.592929113,588,112.432201793,537,119.205704561
Duquesne Heights,25,1170,125.207827231,351,66.8430998683,819,116.10340219
East Allegheny,26,1302,155.051604313,390,93.4077084613,912,157.813180692
East Carnegie,27,264,39,54,23,210,42
East Hills,28,1325,165.508307949,464,109.128364782,861,154.677082983
East Liberty,29,2902,249.248871613,828,153.772559322,2074,230.798613515
Elliott,30,953,120.370262109,275,68.9129886161,678,122.388724971
Esplen,31,142,48,29,21,113,48
Fairywood,32,428,81,44,29,384,81
Fineview,33,624,108.931170929,153,46.6476151588,471,104.004807581
Friendship,34,1074,122.065556157,56,40.8166632639,1018,126.751725827
Garfield,35,1571,116.914498673,511,84.3208159354,1060,111.328343201
Glen Hazel,36,241,80,90,45,151,80
Greenfield,37,3438,251.708164349,966,166.664333318,2472,262.307071959
Hays,38,185,43,47,20,138,48
Hazelwood,39,1870,201.881153157,699,139.971425656,1171,192.919672403
Highland Park,40,2977,243.973359202,770,155.753009603,2207,245.116298928
Homewood North,41,1210,129.645670965,497,88.0738326633,713,117.128134963
Homewood South,42,1082,116.90166808,485,83.3966426182,597,103.595366692
Homewood West,43,392,75.0066663704,206,57.3061951276,186,60.811183182
Knoxville,44,1510,218.716711752,507,129.023253717,1003,213.042249331
Larimer,45,652,91.7496593999,272,60.3489850784,380,80.7341315678
Lincoln Place,46,1460,139.907112043,646,115.455619179,814,131.506653824
Lincoln-Lemington-Belmar,47,1959,154.466824917,782,110.140818955,1177,150.219838903
Lower Lawrenceville,48,1257,125.39936204,346,73.6002717386,911,122.347864714
Manchester,49,984,119.331471121,323,72.6704891961,661,117.613774703
Marshall-Shadeland,50,1565,182.655413279,350,76.9285382677,1215,179.869397063
Middle Hill,51,926,122.086035237,343,90.6752446923,583,113.705760628
Morningside,52,1534,141.55564277,467,84.3208159354,1067,138.119513465
Mount Oliver Borough,53,1465,173.890770313,435,118.448300958,1030,170.217507912
Mount Washington,54,4385,249.523545982,1225,148.892578727,3160,237.274103096
Mt. Oliver,55,261,57,67,30,194,60
New Homestead,56,379,32,159,31,220,30
North Oakland,57,2972,230.516810666,829,119.770614092,2143,223.664927961
North Shore,58,154,45.1220566907,7,15.6204993518,147,44.1474801093
Northview Heights,59,510,81,81,37,429,87
Oakwood,60,552,46,182,40,370,54
Overbrook,61,1594,104.144130896,550,73.3212111193,1044,107.023361936
Perry North,62,1625,132.238421044,438,77.6723889166,1187,127.066911508
Perry South,63,1630,164.28937884,579,108.318973407,1051,153.788816239
Point Breeze,64,2342,137.433620341,580,107.661506584,1762,130.870164667
Point Breeze North,65,996,148.721215702,249,108.374351209,747,145.206749155
Polish Hill,66,710,77.8973683766,207,39.8246155035,503,82.0060973343
Regent Square,67,476,28,132,34,344,37
Ridgemont,68,162,46,71,37,91,40
Shadyside,69,7484,360.919658649,931,156.307389461,6553,364.965751818
Sheraden,70,2202,195.269045166,720,129.475866477,1482,188.592152542
South Oakland,71,1155,150.512457957,261,77.5435361587,894,149.612833675
South Shore,72,8,9,0,10,8,9
South Side Flats,73,3311,264.567571709,719,134.896256434,2592,257.976743138
South Side Slopes,74,1988,173.329166617,507,91.0549284773,1481,175.422347493
Spring Garden,75,397,60.811183182,117,33.2866339542,280,59.3969696197
Spring Hill-City View,76,1080,138.166566144,290,78.1920712093,790,142.814565084
Squirrel Hill North,77,3370,187.890925805,991,130.272790713,2379,187.453994357
Squirrel Hill South,78,7211,332.601864095,2138,241.720913452,5073,338.523263602
St. Clair,79,101,42,24,27,77,34
Stanton Heights,80,2056,129.046503246,839,117.311551008,1217,138.090550003
Strip District,81,520,53,34,24,486,52
Summer Hill,82,517,16,116,26,401,29
Swisshelm Park,83,577,58,170,42,407,61
Terrace Village,84,831,105.271078649,241,66.5131565933,590,100.424100693
Troy Hill,85,1158,147.800541271,291,77.0259696466,867,137.13132392
Upper Hill,86,942,159.965621306,371,109.55363983,571,165.151445649
Upper Lawrenceville,87,1287,137.091210513,331,97.0463806641,956,133.319165914
West End,88,99,47,22,18,77,50
West Oakland,89,630,79.61155695,151,52.3259018078,479,84.5340168216
Westwood,90,1492,112.53888217,461,73.6613874428,1031,130.299654643
Windgap,91,647,100.124921973,252,61.8546683768,395,95.6033472217
